id,title,course_code,assessment_type,max_score,weight_pct,date_assigned,scheduled_date,hall,status,academic_year,template_key,instructor_id
55,Practical - ENG-035,12,Practical,100.0,15,2025-10-30T00:00:00,2025-12-08T00:00:00,Lab 2,Waiting,2025,practical,4
56,Quiz 1 - ENG-036,13,Quiz,100.0,10,2025-11-08T00:00:00,2025-12-09T00:00:00,Hall A,Waiting,2025,quiz_1,5
57,Quiz 2 - ENG-036,13,Quiz,100.0,10,2025-11-10T00:00:00,2025-12-01T00:00:00,Lab 2,Active,2025,quiz_2,5
58,Midterm - ENG-036,13,Midterm,100.0,25,2026-01-28T00:00:00,2025-12-06T00:00:00,Hall A,Waiting,2025,midterm,5
59,Final - ENG-036,13,Final,100.0,40,2025-10-23T00:00:00,2025-11-30T00:00:00,Hall A,Active,2025,final,5
60,Quiz 1 - MED-041,14,Quiz,100.0,10,2026-01-12T00:00:00,2025-11-27T00:00:00,Hall B,Waiting,2025,quiz_1,2
61,Quiz 2 - MED-041,14,Quiz,100.0,10,2025-10-11T00:00:00,2025-12-01T00:00:00,Hall A,Active,2025,quiz_2,2
62,Midterm - MED-041,14,Midterm,100.0,25,2025-11-04T00:00:00,2026-01-27T00:00:00,Lab 2,Waiting,2025,midterm,2
63,Final - MED-041,14,Final,100.0,40,2025-11-20T00:00:00,2025-12-25T00:00:00,Hall A,Active,2025,final,2
64,Quiz 1 - MED-042,15,Quiz,100.0,10,2026-02-24T00:00:00,2025-12-20T00:00:00,Lab 2,Active,2025,quiz_1,5
65,Quiz 2 - MED-042,15,Quiz,100.0,10,2025-12-26T00:00:00,2025-12-24T00:00:00,Hall A,Finished,2025,quiz_2,5
66,Midterm - MED-042,15,Midterm,100.0,25,2025-11-15T00:00:00,2026-02-25T00:00:00,Lab 1,Finished,2025,midterm,5
67,Final - MED-042,15,Final,100.0,40,2025-10-27T00:00:00,2025-12-09T00:00:00,Lab 1,Waiting,2025,final,5
68,Quiz 1 - MED-043,16,Quiz,100.0,10,2025-10-26T00:00:00,2025-11-24T00:00:00,Lab 1,Waiting,2025,quiz_1,15
69,Quiz 2 - MED-043,16,Quiz,100.0,10,2026-02-20T00:00:00,2026-02-10T00:00:00,Hall B,Active,2025,quiz_2,15
70,Midterm - MED-043,16,Midterm,100.0,25,2025-10-03T00:00:00,2026-03-28T00:00:00,Lab 1,Waiting,2025,midterm,15
71,Final - MED-043,16,Final,100.0,40,2025-11-08T00:00:00,2026-01-13T00:00:00,Lab 2,Waiting,2025,final,15
72,Practical - MED-043,16,Practical,100.0,15,2025-10-05T00:00:00,2026-04-01T00:00:00,Hall B,Finished,2025,practical,15
73,Quiz 1 - MED-044,17,Quiz,100.0,10,2026-01-02T00:00:00,2026-01-29T00:00:00,Lab 2,Waiting,2025,quiz_1,9
74,Quiz 2 - MED-044,17,Quiz,100.0,10,2025-10-01T00:00:00,2025-12-25T00:00:00,Lab 1,Waiting,2025,quiz_2,9
75,Midterm - MED-044,17,Midterm,100.0,25,2026-02-27T00:00:00,2026-03-08T00:00:00,Hall A,Waiting,2025,midterm,9
76,Final - MED-044,17,Final,100.0,40,2025-11-28T00:00:00,2026-02-25T00:00:00,Hall A,Waiting,2025,final,9
77,Quiz 1 - MED-045,18,Quiz,100.0,10,2025-12-10T00:00:00,2025-12-19T00:00:00,Lab 2,Active,2025,quiz_1,16
78,Quiz 2 - MED-045,18,Quiz,100.0,10,2026-02-18T00:00:00,2026-01-23T00:00:00,Lab 1,Active,2025,quiz_2,16
79,Midterm - MED-045,18,Midterm,100.0,25,2025-12-18T00:00:00,2025-12-04T00:00:00,Hall B,Waiting,2025,midterm,16
80,Final - MED-045,18,Final,100.0,40,2025-12-06T00:00:00,2025-11-20T00:00:00,Hall B,Waiting,2025,final,16
81,Practical - MED-045,18,Practical,100.0,15,2025-11-06T00:00:00,2026-03-04T00:00:00,Hall A,Active,2025,practical,16
82,Quiz 1 - MED-051,19,Quiz,100.0,10,2025-11-01T00:00:00,2026-02-01T00:00:00,Hall B,Active,2025,quiz_1,18
83,Quiz 2 - MED-051,19,Quiz,100.0,10,2025-11-29T00:00:00,2026-03-23T00:00:00,Lab 2,Active,2025,quiz_2,18
84,Midterm - MED-051,19,Midterm,100.0,25,2025-10-16T00:00:00,2025-12-13T00:00:00,Hall A,Active,2025,midterm,18
85,Final - MED-051,19,Final,100.0,40,2025-10-22T00:00:00,2026-02-19T00:00:00,Lab 2,Finished,2025,final,18
86,Quiz 1 - MED-052,20,Quiz,100.0,10,2025-10-06T00:00:00,2026-02-14T00:00:00,Hall B,Waiting,2025,quiz_1,18
87,Quiz 2 - MED-052,20,Quiz,100.0,10,2025-11-02T00:00:00,2026-01-12T00:00:00,Hall A,Active,2025,quiz_2,18
88,Midterm - MED-052,20,Midterm,100.0,25,2025-12-21T00:00:00,2026-01-06T00:00:00,Hall B,Finished,2025,midterm,18
89,Final - MED-052,20,Final,100.0,40,2025-10-02T00:00:00,2025-12-27T00:00:00,Lab 1,Waiting,2025,final,18
90,Quiz 1 - MED-053,21,Quiz,100.0,10,2025-12-03T00:00:00,2025-11-16T00:00:00,Hall A,Waiting,2025,quiz_1,6
91,Quiz 2 - MED-053,21,Quiz,100.0,10,2026-01-01T00:00:00,2026-02-12T00:00:00,Lab 2,Finished,2025,quiz_2,6
92,Midterm - MED-053,21,Midterm,100.0,25,2026-01-24T00:00:00,2026-02-03T00:00:00,Lab 2,Active,2025,midterm,6
93,Final - MED-053,21,Final,100.0,40,2025-10-17T00:00:00,2026-02-03T00:00:00,Lab 2,Finished,2025,final,6
94,Quiz 1 - MED-054,22,Quiz,100.0,10,2025-12-29T00:00:00,2026-02-04T00:00:00,Lab 1,Active,2025,quiz_1,11
95,Quiz 2 - MED-054,22,Quiz,100.0,10,2025-11-14T00:00:00,2026-01-03T00:00:00,Lab 1,Active,2025,quiz_2,11
96,Midterm - MED-054,22,Midterm,100.0,25,2025-10-28T00:00:00,2025-12-06T00:00:00,Lab 1,Active,2025,midterm,11
97,Final - MED-054,22,Final,100.0,40,2026-01-20T00:00:00,2025-11-01T00:00:00,Hall A,Waiting,2025,final,11
98,Quiz 1 - MED-055,23,Quiz,100.0,10,2026-02-20T00:00:00,2025-11-16T00:00:00,Hall A,Finished,2025,quiz_1,17
99,Quiz 2 - MED-055,23,Quiz,100.0,10,2025-11-01T00:00:00,2025-11-10T00:00:00,Hall B,Waiting,2025,quiz_2,17
100,Midterm - MED-055,23,Midterm,100.0,25,2026-01-14T00:00:00,2026-03-22T00:00:00,Hall B,Waiting,2025,midterm,17
101,Final - MED-055,23,Final,100.0,40,2026-01-24T00:00:00,2026-02-11T00:00:00,Lab 1,Waiting,2025,final,17
102,Practical - MED-055,23,Practical,100.0,15,2026-02-03T00:00:00,2025-12-12T00:00:00,Lab 2,Finished,2025,practical,17
103,Quiz 1 - MED-056,24,Quiz,100.0,10,2025-10-11T00:00:00,2026-03-20T00:00:00,Hall A,Finished,2025,quiz_1,11
104,Quiz 2 - MED-056,24,Quiz,100.0,10,2025-10-25T00:00:00,2026-02-02T00:00:00,Lab 2,Waiting,2025,quiz_2,11
105,Midterm - MED-056,24,Midterm,100.0,25,2025-11-07T00:00:00,2026-04-01T00:00:00,Hall A,Finished,2025,midterm,11
106,Final - MED-056,24,Final,100.0,40,2025-10-28T00:00:00,2026-01-27T00:00:00,Hall A,Active,2025,final,11
107,Practical - MED-056,24,Practical,100.0,15,2025-10-22T00:00:00,2025-12-21T00:00:00,Hall A,Active,2025,practical,11
108,Quiz 1 - MED-061,25,Quiz,100.0,10,2026-01-24T00:00:00,2025-11-27T00:00:00,Hall B,Waiting,2025,quiz_1,2
109,Quiz 2 - MED-061,25,Quiz,100.0,10,2026-01-27T00:00:00,2025-12-29T00:00:00,Lab 1,Waiting,2025,quiz_2,2
110,Midterm - MED-061,25,Midterm,100.0,25,2025-10-13T00:00:00,2026-01-13T00:00:00,Lab 1,Finished,2025,midterm,2
111,Final - MED-061,25,Final,100.0,40,2025-12-10T00:00:00,2026-03-06T00:00:00,Lab 1,Waiting,2025,final,2
112,Practical - MED-061,25,Practical,100.0,15,2026-01-11T00:00:00,2025-12-15T00:00:00,Hall A,Finished,2025,practical,2
113,Quiz 1 - MED-062,26,Quiz,100.0,10,2025-11-20T00:00:00,2025-11-07T00:00:00,Hall A,Finished,2025,quiz_1,13
114,Quiz 2 - MED-062,26,Quiz,100.0,10,2026-01-20T00:00:00,2025-12-17T00:00:00,Lab 1,Finished,2025,quiz_2,13
115,Midterm - MED-062,26,Midterm,100.0,25,2026-02-13T00:00:00,2026-01-30T00:00:00,Lab 2,Active,2025,midterm,13
116,Final - MED-062,26,Final,100.0,40,2026-01-18T00:00:00,2026-01-04T00:00:00,Lab 2,Waiting,2025,final,13
117,Quiz 1 - MED-063,27,Quiz,100.0,10,2025-11-22T00:00:00,2025-12-01T00:00:00,Hall A,Active,2025,quiz_1,12
118,Quiz 2 - MED-063,27,Quiz,100.0,10,2025-11-20T00:00:00,2025-12-22T00:00:00,Lab 2,Waiting,2025,quiz_2,12
119,Midterm - MED-063,27,Midterm,100.0,25,2026-01-21T00:00:00,2026-01-05T00:00:00,Lab 2,Active,2025,midterm,12
120,Final - MED-063,27,Final,100.0,40,2026-01-20T00:00:00,2025-12-09T00:00:00,Hall A,Active,2025,final,12
121,Practical - MED-063,27,Practical,100.0,15,2026-02-27T00:00:00,2025-11-17T00:00:00,Hall B,Waiting,2025,practical,12
122,Quiz 1 - MED-064,28,Quiz,100.0,10,2026-01-30T00:00:00,2025-11-05T00:00:00,Hall A,Waiting,2025,quiz_1,16
123,Quiz 2 - MED-064,28,Quiz,100.0,10,2025-12-08T00:00:00,2026-02-12T00:00:00,Lab 2,Active,2025,quiz_2,16
124,Midterm - MED-064,28,Midterm,100.0,25,2025-10-26T00:00:00,2026-01-19T00:00:00,Lab 1,Finished,2025,midterm,16
125,Final - MED-064,28,Final,100.0,40,2026-02-28T00:00:00,2025-11-07T00:00:00,Hall A,Waiting,2025,final,16
126,Practical - MED-064,28,Practical,100.0,15,2025-10-13T00:00:00,2026-02-23T00:00:00,Lab 2,Finished,2025,practical,16
127,Quiz 1 - CS-071,29,Quiz,100.0,10,2026-01-28T00:00:00,2025-12-02T00:00:00,Lab 1,Waiting,2025,quiz_1,2
128,Quiz 2 - CS-071,29,Quiz,100.0,10,2025-10-06T00:00:00,2026-01-07T00:00:00,Hall B,Finished,2025,quiz_2,2
129,Midterm - CS-071,29,Midterm,100.0,25,2026-02-19T00:00:00,2025-11-18T00:00:00,Lab 1,Finished,2025,midterm,2
130,Final - CS-071,29,Final,100.0,40,2025-10-01T00:00:00,2026-01-20T00:00:00,Hall B,Finished,2025,final,2
131,Practical - CS-071,29,Practical,100.0,15,2025-10-17T00:00:00,2026-01-21T00:00:00,Hall B,Waiting,2025,practical,2
132,Quiz 1 - CS-072,30,Quiz,100.0,10,2025-12-05T00:00:00,2026-03-09T00:00:00,Hall A,Finished,2025,quiz_1,3
133,Quiz 2 - CS-072,30,Quiz,100.0,10,2025-12-16T00:00:00,2026-03-08T00:00:00,Lab 2,Finished,2025,quiz_2,3
134,Midterm - CS-072,30,Midterm,100.0,25,2026-02-13T00:00:00,2026-03-07T00:00:00,Hall B,Finished,2025,midterm,3
135,Final - CS-072,30,Final,100.0,40,2025-10-17T00:00:00,2025-12-21T00:00:00,Lab 2,Finished,2025,final,3
136,Quiz 1 - CS-073,31,Quiz,100.0,10,2026-01-21T00:00:00,2025-12-01T00:00:00,Lab 2,Active,2025,quiz_1,13
137,Quiz 2 - CS-073,31,Quiz,100.0,10,2026-02-20T00:00:00,2026-01-14T00:00:00,Hall A,Active,2025,quiz_2,13
138,Midterm - CS-073,31,Midterm,100.0,25,2026-01-06T00:00:00,2025-11-26T00:00:00,Hall B,Waiting,2025,midterm,13
139,Final - CS-073,31,Final,100.0,40,2026-02-02T00:00:00,2026-01-13T00:00:00,Hall A,Active,2025,final,13
140,Practical - CS-073,31,Practical,100.0,15,2026-01-31T00:00:00,2026-03-27T00:00:00,Lab 1,Waiting,2025,practical,13
141,Quiz 1 - CS-074,32,Quiz,100.0,10,2025-11-29T00:00:00,2025-12-15T00:00:00,Lab 1,Active,2025,quiz_1,18
142,Quiz 2 - CS-074,32,Quiz,100.0,10,2025-11-16T00:00:00,2025-12-24T00:00:00,Lab 1,Finished,2025,quiz_2,18
143,Midterm - CS-074,32,Midterm,100.0,25,2026-02-23T00:00:00,2025-11-30T00:00:00,Lab 2,Waiting,2025,midterm,18
144,Final - CS-074,32,Final,100.0,40,2025-10-18T00:00:00,2026-01-07T00:00:00,Hall B,Active,2025,final,18
145,Quiz 1 - CS-075,33,Quiz,100.0,10,2025-11-05T00:00:00,2025-11-07T00:00:00,Hall B,Active,2025,quiz_1,15
146,Quiz 2 - CS-075,33,Quiz,100.0,10,2025-10-14T00:00:00,2026-03-12T00:00:00,Lab 2,Finished,2025,quiz_2,15
147,Midterm - CS-075,33,Midterm,100.0,25,2025-11-13T00:00:00,2025-11-28T00:00:00,Hall A,Active,2025,midterm,15
148,Final - CS-075,33,Final,100.0,40,2025-10-15T00:00:00,2025-12-11T00:00:00,Hall A,Finished,2025,final,15
149,Practical - CS-075,33,Practical,100.0,15,2025-12-06T00:00:00,2025-11-25T00:00:00,Hall A,Waiting,2025,practical,15
150,Quiz 1 - CS-076,34,Quiz,100.0,10,2026-01-03T00:00:00,2026-03-27T00:00:00,Lab 2,Waiting,2025,quiz_1,17
151,Quiz 2 - CS-076,34,Quiz,100.0,10,2025-10-29T00:00:00,2025-11-22T00:00:00,Lab 2,Waiting,2025,quiz_2,17
152,Midterm - CS-076,34,Midterm,100.0,25,2026-02-15T00:00:00,2026-03-09T00:00:00,Lab 1,Finished,2025,midterm,17
153,Final - CS-076,34,Final,100.0,40,2026-02-08T00:00:00,2025-11-08T00:00:00,Hall A,Finished,2025,final,17
154,Quiz 1 - CS-081,35,Quiz,100.0,10,2026-01-11T00:00:00,2026-01-06T00:00:00,Lab 1,Finished,2025,quiz_1,11
155,Quiz 2 - CS-081,35,Quiz,100.0,10,2025-11-05T00:00:00,2025-12-12T00:00:00,Hall A,Active,2025,quiz_2,11
156,Midterm - CS-081,35,Midterm,100.0,25,2025-12-31T00:00:00,2026-03-14T00:00:00,Hall B,Finished,2025,midterm,11
157,Final - CS-081,35,Final,100.0,40,2026-01-21T00:00:00,2026-03-10T00:00:00,Lab 1,Active,2025,final,11
158,Quiz 1 - CS-082,36,Quiz,100.0,10,2025-10-03T00:00:00,2026-03-19T00:00:00,Hall B,Waiting,2025,quiz_1,8
159,Quiz 2 - CS-082,36,Quiz,100.0,10,2025-10-07T00:00:00,2026-01-06T00:00:00,Hall A,Active,2025,quiz_2,8
160,Midterm - CS-082,36,Midterm,100.0,25,2026-01-30T00:00:00,2026-01-21T00:00:00,Lab 2,Finished,2025,midterm,8
161,Final - CS-082,36,Final,100.0,40,2025-10-24T00:00:00,2025-12-17T00:00:00,Hall B,Active,2025,final,8
162,Quiz 1 - CS-083,37,Quiz,100.0,10,2026-02-22T00:00:00,2025-11-22T00:00:00,Lab 1,Finished,2025,quiz_1,12
163,Quiz 2 - CS-083,37,Quiz,100.0,10,2026-01-12T00:00:00,2025-11-24T00:00:00,Hall A,Waiting,2025,quiz_2,12
164,Midterm - CS-083,37,Midterm,100.0,25,2026-02-08T00:00:00,2026-03-08T00:00:00,Lab 1,Waiting,2025,midterm,12
165,Final - CS-083,37,Final,100.0,40,2026-01-17T00:00:00,2026-03-24T00:00:00,Hall B,Active,2025,final,12
166,Practical - CS-083,37,Practical,100.0,15,2026-01-09T00:00:00,2026-03-29T00:00:00,Lab 2,Finished,2025,practical,12
167,Quiz 1 - CS-084,38,Quiz,100.0,10,2025-10-13T00:00:00,2026-01-08T00:00:00,Hall A,Finished,2025,quiz_1,10
168,Quiz 2 - CS-084,38,Quiz,100.0,10,2025-12-30T00:00:00,2025-12-29T00:00:00,Hall A,Active,2025,quiz_2,10
169,Midterm - CS-084,38,Midterm,100.0,25,2025-10-23T00:00:00,2026-03-29T00:00:00,Lab 2,Waiting,2025,midterm,10
170,Final - CS-084,38,Final,100.0,40,2025-12-30T00:00:00,2026-02-18T00:00:00,Hall A,Active,2025,final,10
171,Quiz 1 - CS-085,39,Quiz,100.0,10,2026-02-19T00:00:00,2026-01-03T00:00:00,Hall B,Active,2025,quiz_1,10
172,Quiz 2 - CS-085,39,Quiz,100.0,10,2025-12-12T00:00:00,2026-03-22T00:00:00,Hall B,Active,2025,quiz_2,10
173,Midterm - CS-085,39,Midterm,100.0,25,2026-01-05T00:00:00,2026-01-30T00:00:00,Hall A,Active,2025,midterm,10
174,Final - CS-085,39,Final,100.0,40,2026-02-26T00:00:00,2026-02-10T00:00:00,Hall B,Active,2025,final,10
175,Practical - CS-085,39,Practical,100.0,15,2025-10-12T00:00:00,2026-02-16T00:00:00,Lab 1,Finished,2025,practical,10
176,Quiz 1 - CS-086,40,Quiz,100.0,10,2026-01-05T00:00:00,2026-02-07T00:00:00,Hall B,Finished,2025,quiz_1,18
177,Quiz 2 - CS-086,40,Quiz,100.0,10,2025-12-07T00:00:00,2026-02-18T00:00:00,Hall A,Active,2025,quiz_2,18
178,Midterm - CS-086,40,Midterm,100.0,25,2026-01-24T00:00:00,2026-03-11T00:00:00,Lab 1,Waiting,2025,midterm,18
179,Final - CS-086,40,Final,100.0,40,2025-10-17T00:00:00,2026-02-22T00:00:00,Hall A,Waiting,2025,final,18
180,Practical - CS-086,40,Practical,100.0,15,2026-02-21T00:00:00,2026-01-26T00:00:00,Hall A,Active,2025,practical,18
181,Quiz 1 - CS-091,41,Quiz,100.0,10,2025-11-06T00:00:00,2025-12-11T00:00:00,Lab 1,Finished,2025,quiz_1,12
182,Quiz 2 - CS-091,41,Quiz,100.0,10,2025-12-02T00:00:00,2026-02-13T00:00:00,Lab 1,Finished,2025,quiz_2,12
183,Midterm - CS-091,41,Midterm,100.0,25,2026-02-17T00:00:00,2025-12-03T00:00:00,Hall A,Finished,2025,midterm,12
184,Final - CS-091,41,Final,100.0,40,2026-02-24T00:00:00,2025-12-27T00:00:00,Lab 1,Finished,2025,final,12
185,Practical - CS-091,41,Practical,100.0,15,2026-01-11T00:00:00,2026-03-17T00:00:00,Hall B,Finished,2025,practical,12
186,Quiz 1 - CS-092,42,Quiz,100.0,10,2025-10-11T00:00:00,2026-02-20T00:00:00,Hall B,Active,2025,quiz_1,13
187,Quiz 2 - CS-092,42,Quiz,100.0,10,2026-01-10T00:00:00,2026-03-03T00:00:00,Hall B,Finished,2025,quiz_2,13
188,Midterm - CS-092,42,Midterm,100.0,25,2026-01-22T00:00:00,2026-03-28T00:00:00,Hall A,Active,2025,midterm,13
189,Final - CS-092,42,Final,100.0,40,2025-10-06T00:00:00,2025-11-17T00:00:00,Hall A,Active,2025,final,13
190,Practical - CS-092,42,Practical,100.0,15,2025-10-19T00:00:00,2025-12-25T00:00:00,Hall A,Finished,2025,practical,13
191,Quiz 1 - CS-093,43,Quiz,100.0,10,2025-12-03T00:00:00,2026-01-31T00:00:00,Hall B,Waiting,2025,quiz_1,6
192,Quiz 2 - CS-093,43,Quiz,100.0,10,2026-01-13T00:00:00,2025-11-28T00:00:00,Hall B,Waiting,2025,quiz_2,6
193,Midterm - CS-093,43,Midterm,100.0,25,2026-01-30T00:00:00,2026-02-13T00:00:00,Hall A,Active,2025,midterm,6
194,Final - CS-093,43,Final,100.0,40,2025-11-17T00:00:00,2026-01-03T00:00:00,Hall A,Active,2025,final,6
195,Quiz 1 - CS-094,44,Quiz,100.0,10,2025-12-22T00:00:00,2026-03-23T00:00:00,Hall A,Active,2025,quiz_1,10
196,Quiz 2 - CS-094,44,Quiz,100.0,10,2025-12-25T00:00:00,2025-11-06T00:00:00,Hall B,Active,2025,quiz_2,10
197,Midterm - CS-094,44,Midterm,100.0,25,2025-12-11T00:00:00,2026-01-17T00:00:00,Lab 2,Waiting,2025,midterm,10
