id,student_id,course_id,title,grade_type,score,max_score,created_at
48,8,45,Final Exam,final,50.3,100.0,2025-12-19T00:00:00
49,8,10,Quiz 1,quiz,65.4,100.0,2026-02-09T00:00:00
50,8,10,Midterm,midterm,88.0,100.0,2025-11-17T00:00:00
51,8,10,Final Exam,final,79.0,100.0,2026-02-18T00:00:00
52,8,40,Quiz 1,quiz,64.1,100.0,2026-01-21T00:00:00
53,8,40,Midterm,midterm,61.0,100.0,2025-11-24T00:00:00
54,8,40,Final Exam,final,99.2,100.0,2026-02-07T00:00:00
55,9,1,Quiz 1,quiz,48.3,100.0,2025-12-24T00:00:00
56,9,1,Midterm,midterm,69.1,100.0,2025-12-14T00:00:00
57,9,1,Final Exam,final,48.0,100.0,2026-01-29T00:00:00
58,9,42,Quiz 1,quiz,89.7,100.0,2025-12-08T00:00:00
59,9,42,Midterm,midterm,69.9,100.0,2025-11-07T00:00:00
60,9,42,Final Exam,final,72.7,100.0,2025-11-14T00:00:00
61,9,30,Quiz 1,quiz,100.0,100.0,2025-12-21T00:00:00
62,9,30,Midterm,midterm,61.1,100.0,2026-01-20T00:00:00
63,9,30,Final Exam,final,96.2,100.0,2025-12-13T00:00:00
64,10,2,Quiz 1,quiz,64.1,100.0,2026-01-17T00:00:00
65,10,2,Midterm,midterm,66.5,100.0,2026-01-17T00:00:00
66,10,2,Final Exam,final,100.0,100.0,2025-12-15T00:00:00
67,10,4,Quiz 1,quiz,67.6,100.0,2025-11-30T00:00:00
68,10,4,Midterm,midterm,49.4,100.0,2026-02-27T00:00:00
69,10,4,Final Exam,final,74.2,100.0,2025-11-07T00:00:00
70,10,1,Quiz 1,quiz,67.4,100.0,2025-11-02T00:00:00
71,10,1,Midterm,midterm,75.5,100.0,2026-01-28T00:00:00
72,10,1,Final Exam,final,68.0,100.0,2026-02-28T00:00:00
73,10,3,Quiz 1,quiz,100.0,100.0,2026-01-26T00:00:00
74,10,3,Midterm,midterm,78.4,100.0,2025-12-25T00:00:00
75,10,3,Final Exam,final,53.9,100.0,2025-11-21T00:00:00
76,11,20,Quiz 1,quiz,71.9,100.0,2026-02-18T00:00:00
77,11,20,Midterm,midterm,58.0,100.0,2025-11-24T00:00:00
78,11,20,Final Exam,final,66.3,100.0,2025-11-16T00:00:00
79,11,16,Quiz 1,quiz,56.3,100.0,2025-11-23T00:00:00
80,11,16,Midterm,midterm,100.0,100.0,2025-11-20T00:00:00
81,11,16,Final Exam,final,59.6,100.0,2025-12-08T00:00:00
82,11,3,Quiz 1,quiz,80.3,100.0,2025-11-24T00:00:00
83,11,3,Midterm,midterm,65.1,100.0,2026-02-06T00:00:00
84,11,3,Final Exam,final,52.6,100.0,2026-02-11T00:00:00
85,11,34,Quiz 1,quiz,73.0,100.0,2025-12-28T00:00:00
86,11,34,Midterm,midterm,76.0,100.0,2025-12-25T00:00:00
87,11,34,Final Exam,final,78.4,100.0,2026-02-21T00:00:00
88,12,29,Quiz 1,quiz,30.7,100.0,2026-01-01T00:00:00
89,12,29,Midterm,midterm,51.5,100.0,2026-01-28T00:00:00
90,12,29,Final Exam,final,84.4,100.0,2026-01-24T00:00:00
91,12,33,Quiz 1,quiz,56.1,100.0,2025-12-31T00:00:00
92,12,33,Midterm,midterm,73.0,100.0,2025-12-10T00:00:00
93,12,33,Final Exam,final,51.1,100.0,2025-12-22T00:00:00
94,12,31,Quiz 1,quiz,81.0,100.0,2025-11-18T00:00:00
95,12,31,Midterm,midterm,84.0,100.0,2026-02-06T00:00:00
96,12,31,Final Exam,final,81.0,100.0,2025-12-11T00:00:00
97,12,34,Quiz 1,quiz,85.5,100.0,2026-01-18T00:00:00
98,12,34,Midterm,midterm,93.5,100.0,2025-11-09T00:00:00
99,12,34,Final Exam,final,52.4,100.0,2025-12-20T00:00:00
100,12,32,Quiz 1,quiz,58.2,100.0,2025-11-04T00:00:00
101,12,32,Midterm,midterm,83.5,100.0,2025-11-14T00:00:00
102,12,32,Final Exam,final,87.0,100.0,2025-11-11T00:00:00
103,12,30,Quiz 1,quiz,59.9,100.0,2025-11-23T00:00:00
104,12,30,Midterm,midterm,58.8,100.0,2025-12-06T00:00:00
105,12,30,Final Exam,final,60.2,100.0,2026-01-30T00:00:00
106,13,46,Quiz 1,quiz,45.9,100.0,2025-11-13T00:00:00
107,13,46,Midterm,midterm,50.9,100.0,2025-11-12T00:00:00
108,13,46,Final Exam,final,51.3,100.0,2025-12-18T00:00:00
109,13,47,Quiz 1,quiz,65.6,100.0,2026-02-25T00:00:00
110,13,47,Midterm,midterm,74.1,100.0,2026-02-18T00:00:00
111,13,47,Final Exam,final,76.5,100.0,2026-01-04T00:00:00
112,13,45,Quiz 1,quiz,62.4,100.0,2026-02-13T00:00:00
113,13,45,Midterm,midterm,62.7,100.0,2025-12-03T00:00:00
114,13,45,Final Exam,final,71.9,100.0,2026-01-08T00:00:00
115,14,21,Quiz 1,quiz,47.6,100.0,2026-02-11T00:00:00
116,14,21,Midterm,midterm,84.4,100.0,2026-01-06T00:00:00
117,14,21,Final Exam,final,89.3,100.0,2026-01-21T00:00:00
118,14,23,Quiz 1,quiz,60.6,100.0,2025-12-20T00:00:00
119,14,23,Midterm,midterm,64.0,100.0,2025-11-08T00:00:00
120,14,23,Final Exam,final,88.6,100.0,2025-11-01T00:00:00
121,14,20,Quiz 1,quiz,68.2,100.0,2026-02-06T00:00:00
122,14,20,Midterm,midterm,78.8,100.0,2026-02-24T00:00:00
123,14,20,Final Exam,final,68.6,100.0,2026-01-08T00:00:00
124,14,22,Quiz 1,quiz,93.3,100.0,2025-11-02T00:00:00
125,14,22,Midterm,midterm,77.4,100.0,2025-11-14T00:00:00
126,14,22,Final Exam,final,78.2,100.0,2025-12-31T00:00:00
127,15,14,Quiz 1,quiz,78.5,100.0,2026-01-15T00:00:00
128,15,14,Midterm,midterm,61.7,100.0,2026-01-06T00:00:00
129,15,14,Final Exam,final,63.1,100.0,2025-12-21T00:00:00
130,15,18,Quiz 1,quiz,81.5,100.0,2026-01-01T00:00:00
131,15,18,Midterm,midterm,71.9,100.0,2026-01-31T00:00:00
132,15,18,Final Exam,final,52.3,100.0,2026-01-03T00:00:00
133,15,16,Quiz 1,quiz,98.1,100.0,2026-01-11T00:00:00
134,15,16,Midterm,midterm,84.7,100.0,2025-11-17T00:00:00
135,15,16,Final Exam,final,70.6,100.0,2025-11-26T00:00:00
136,16,4,Quiz 1,quiz,65.9,100.0,2026-02-20T00:00:00
137,16,4,Midterm,midterm,73.0,100.0,2025-11-11T00:00:00
138,16,4,Final Exam,final,77.8,100.0,2025-11-23T00:00:00
139,16,3,Quiz 1,quiz,39.5,100.0,2026-01-13T00:00:00
140,16,3,Midterm,midterm,100.0,100.0,2026-01-16T00:00:00
141,16,3,Final Exam,final,58.2,100.0,2026-02-21T00:00:00
142,18,50,Quiz 1,quiz,70.0,100.0,2026-03-01T00:00:00
143,18,50,Midterm,midterm,70.5,100.0,2025-12-16T00:00:00
144,18,50,Final Exam,final,100.0,100.0,2025-12-27T00:00:00
145,18,48,Quiz 1,quiz,68.7,100.0,2026-02-28T00:00:00
146,18,48,Midterm,midterm,93.8,100.0,2026-02-09T00:00:00
147,18,48,Final Exam,final,76.1,100.0,2026-02-23T00:00:00
148,18,49,Quiz 1,quiz,55.6,100.0,2025-11-02T00:00:00
149,18,49,Midterm,midterm,72.0,100.0,2026-02-28T00:00:00
150,18,49,Final Exam,final,68.2,100.0,2026-02-11T00:00:00
151,19,27,Quiz 1,quiz,53.7,100.0,2025-12-05T00:00:00
152,19,27,Midterm,midterm,75.4,100.0,2025-12-28T00:00:00
153,19,27,Final Exam,final,70.3,100.0,2025-11-18T00:00:00
154,19,25,Quiz 1,quiz,78.3,100.0,2026-01-31T00:00:00
155,19,25,Midterm,midterm,72.9,100.0,2025-12-23T00:00:00
156,19,25,Final Exam,final,60.2,100.0,2026-02-10T00:00:00
157,19,26,Quiz 1,quiz,81.5,100.0,2025-12-04T00:00:00
158,19,26,Midterm,midterm,60.6,100.0,2026-02-18T00:00:00
159,19,26,Final Exam,final,23.5,100.0,2025-11-22T00:00:00
160,19,28,Quiz 1,quiz,71.9,100.0,2026-01-21T00:00:00
161,19,28,Midterm,midterm,61.7,100.0,2026-02-12T00:00:00
162,19,28,Final Exam,final,75.7,100.0,2025-12-25T00:00:00
163,20,30,Quiz 1,quiz,100.0,100.0,2025-11-10T00:00:00
164,20,30,Midterm,midterm,100.0,100.0,2025-11-19T00:00:00
165,20,30,Final Exam,final,67.5,100.0,2026-02-02T00:00:00
166,20,29,Quiz 1,quiz,57.6,100.0,2025-11-15T00:00:00
167,20,29,Midterm,midterm,78.8,100.0,2026-02-26T00:00:00
168,20,29,Final Exam,final,64.4,100.0,2025-11-22T00:00:00
169,20,34,Quiz 1,quiz,75.9,100.0,2025-11-07T00:00:00
170,20,34,Midterm,midterm,60.1,100.0,2025-11-27T00:00:00
171,20,34,Final Exam,final,73.8,100.0,2026-01-07T00:00:00
172,20,32,Quiz 1,quiz,57.8,100.0,2025-12-03T00:00:00
173,20,32,Midterm,midterm,87.8,100.0,2025-11-30T00:00:00
174,20,32,Final Exam,final,61.2,100.0,2026-02-03T00:00:00
175,21,50,Quiz 1,quiz,79.9,100.0,2026-02-06T00:00:00
176,21,50,Midterm,midterm,51.0,100.0,2026-02-22T00:00:00
177,21,50,Final Exam,final,81.7,100.0,2026-01-01T00:00:00
178,21,49,Quiz 1,quiz,55.5,100.0,2025-12-14T00:00:00
179,21,49,Midterm,midterm,73.9,100.0,2025-11-30T00:00:00
180,21,49,Final Exam,final,85.3,100.0,2025-12-26T00:00:00
181,21,48,Quiz 1,quiz,67.0,100.0,2025-12-15T00:00:00
182,21,48,Midterm,midterm,54.6,100.0,2026-01-29T00:00:00
183,21,48,Final Exam,final,77.5,100.0,2026-01-15T00:00:00
184,23,39,Quiz 1,quiz,57.4,100.0,2026-02-02T00:00:00
185,23,39,Midterm,midterm,63.9,100.0,2025-12-20T00:00:00
186,23,39,Final Exam,final,74.0,100.0,2026-02-19T00:00:00
187,23,35,Quiz 1,quiz,90.4,100.0,2026-02-05T00:00:00
188,23,35,Midterm,midterm,70.4,100.0,2026-01-08T00:00:00
189,23,35,Final Exam,final,70.3,100.0,2025-11-07T00:00:00
190,23,38,Quiz 1,quiz,81.1,100.0,2025-12-30T00:00:00
191,23,38,Midterm,midterm,70.8,100.0,2026-01-10T00:00:00
192,23,38,Final Exam,final,79.5,100.0,2025-12-15T00:00:00
193,24,7,Quiz 1,quiz,86.2,100.0,2026-02-13T00:00:00
194,24,7,Midterm,midterm,65.1,100.0,2026-01-21T00:00:00
195,24,7,Final Exam,final,20.9,100.0,2025-11-22T00:00:00
196,24,5,Quiz 1,quiz,57.7,100.0,2025-12-18T00:00:00
197,24,5,Midterm,midterm,88.1,100.0,2025-12-04T00:00:00
198,24,5,Final Exam,final,69.5,100.0,2026-01-05T00:00:00
199,24,6,Quiz 1,quiz,64.9,100.0,2025-11-23T00:00:00
200,24,6,Midterm,midterm,87.5,100.0,2025-12-10T00:00:00
201,24,6,Final Exam,final,68.5,100.0,2025-11-17T00:00:00
202,25,11,Quiz 1,quiz,38.6,100.0,2025-11-16T00:00:00
203,25,11,Midterm,midterm,47.4,100.0,2026-01-25T00:00:00
204,25,11,Final Exam,final,76.3,100.0,2026-01-11T00:00:00
205,25,9,Quiz 1,quiz,69.0,100.0,2026-01-28T00:00:00
206,25,9,Midterm,midterm,91.8,100.0,2026-02-05T00:00:00
207,25,9,Final Exam,final,59.0,100.0,2025-11-30T00:00:00
208,25,13,Quiz 1,quiz,65.4,100.0,2026-01-04T00:00:00
209,25,13,Midterm,midterm,56.7,100.0,2025-12-12T00:00:00
210,25,13,Final Exam,final,62.2,100.0,2026-02-21T00:00:00
211,25,12,Quiz 1,quiz,41.6,100.0,2025-12-03T00:00:00
212,25,12,Midterm,midterm,64.2,100.0,2025-12-17T00:00:00
213,25,12,Final Exam,final,69.2,100.0,2026-02-11T00:00:00
214,25,8,Quiz 1,quiz,68.0,100.0,2026-02-05T00:00:00
215,25,8,Midterm,midterm,100.0,100.0,2025-12-05T00:00:00
216,25,8,Final Exam,final,97.5,100.0,2025-11-07T00:00:00
217,26,22,Quiz 1,quiz,58.7,100.0,2025-11-05T00:00:00
218,26,22,Midterm,midterm,39.3,100.0,2026-01-26T00:00:00
219,26,22,Final Exam,final,68.5,100.0,2026-03-01T00:00:00
220,26,24,Quiz 1,quiz,75.6,100.0,2025-12-25T00:00:00
221,26,24,Midterm,midterm,57.1,100.0,2025-12-03T00:00:00
222,26,24,Final Exam,final,57.8,100.0,2025-12-10T00:00:00
223,26,21,Quiz 1,quiz,93.7,100.0,2026-01-23T00:00:00
224,26,21,Midterm,midterm,66.1,100.0,2025-12-18T00:00:00
225,26,21,Final Exam,final,79.9,100.0,2025-12-07T00:00:00
226,26,20,Quiz 1,quiz,56.0,100.0,2026-01-23T00:00:00
227,26,20,Midterm,midterm,69.1,100.0,2025-12-30T00:00:00
228,26,20,Final Exam,final,65.0,100.0,2025-12-14T00:00:00
229,29,40,Quiz 1,quiz,59.9,100.0,2026-02-03T00:00:00
230,29,40,Midterm,midterm,87.3,100.0,2025-11-19T00:00:00
231,29,40,Final Exam,final,49.2,100.0,2026-02-20T00:00:00
232,29,35,Quiz 1,quiz,74.5,100.0,2025-11-26T00:00:00
233,29,35,Midterm,midterm,64.7,100.0,2026-02-17T00:00:00
234,29,35,Final Exam,final,76.2,100.0,2026-02-21T00:00:00
235,29,39,Quiz 1,quiz,64.9,100.0,2025-11-10T00:00:00
236,29,39,Midterm,midterm,83.0,100.0,2025-11-15T00:00:00
237,29,39,Final Exam,final,55.9,100.0,2025-11-18T00:00:00
238,29,38,Quiz 1,quiz,87.4,100.0,2026-03-01T00:00:00
239,29,38,Midterm,midterm,69.6,100.0,2025-11-25T00:00:00
240,29,38,Final Exam,final,50.1,100.0,2025-11-20T00:00:00
241,30,44,Quiz 1,quiz,80.2,100.0,2026-02-28T00:00:00
242,30,44,Midterm,midterm,67.0,100.0,2026-01-31T00:00:00
243,30,44,Final Exam,final,44.4,100.0,2025-12-28T00:00:00
244,30,43,Quiz 1,quiz,75.0,100.0,2025-12-07T00:00:00
245,30,43,Midterm,midterm,85.1,100.0,2026-02-07T00:00:00
246,30,43,Final Exam,final,89.2,100.0,2026-01-08T00:00:00
247,30,42,Quiz 1,quiz,64.3,100.0,2026-01-18T00:00:00
248,30,42,Midterm,midterm,72.2,100.0,2026-02-06T00:00:00
249,30,42,Final Exam,final,70.8,100.0,2026-02-03T00:00:00
250,31,20,Quiz 1,quiz,92.3,100.0,2026-02-02T00:00:00
251,31,20,Midterm,midterm,57.8,100.0,2026-01-02T00:00:00
252,31,20,Final Exam,final,63.0,100.0,2026-01-27T00:00:00
253,31,19,Quiz 1,quiz,57.5,100.0,2026-03-01T00:00:00
254,31,19,Midterm,midterm,48.3,100.0,2026-01-19T00:00:00
255,31,19,Final Exam,final,73.7,100.0,2026-02-02T00:00:00
256,31,22,Quiz 1,quiz,94.0,100.0,2026-02-13T00:00:00
257,31,22,Midterm,midterm,67.0,100.0,2025-11-11T00:00:00
258,31,22,Final Exam,final,56.8,100.0,2025-12-28T00:00:00
259,31,24,Quiz 1,quiz,72.8,100.0,2025-12-27T00:00:00
260,31,24,Midterm,midterm,78.8,100.0,2026-02-24T00:00:00
261,31,24,Final Exam,final,67.7,100.0,2026-02-08T00:00:00
262,32,1,Quiz 1,quiz,91.1,100.0,2025-12-21T00:00:00
263,32,1,Midterm,midterm,57.8,100.0,2026-02-06T00:00:00
264,32,1,Final Exam,final,65.7,100.0,2025-11-27T00:00:00
265,32,2,Quiz 1,quiz,74.4,100.0,2025-12-02T00:00:00
266,32,2,Midterm,midterm,75.9,100.0,2026-01-25T00:00:00
267,32,2,Final Exam,final,70.7,100.0,2025-12-08T00:00:00
268,32,3,Quiz 1,quiz,50.8,100.0,2026-01-22T00:00:00
269,32,3,Midterm,midterm,100.0,100.0,2026-01-22T00:00:00
270,32,3,Final Exam,final,66.5,100.0,2026-01-26T00:00:00
271,32,4,Quiz 1,quiz,71.7,100.0,2026-02-04T00:00:00
272,32,4,Midterm,midterm,79.3,100.0,2025-11-22T00:00:00
273,32,4,Final Exam,final,60.5,100.0,2026-01-02T00:00:00
274,33,12,Quiz 1,quiz,70.9,100.0,2025-11-22T00:00:00
275,33,12,Midterm,midterm,59.8,100.0,2025-11-04T00:00:00
276,33,12,Final Exam,final,76.2,100.0,2025-11-25T00:00:00
277,33,10,Quiz 1,quiz,65.9,100.0,2026-02-20T00:00:00
278,33,10,Midterm,midterm,74.0,100.0,2026-02-15T00:00:00
279,33,10,Final Exam,final,54.3,100.0,2026-01-11T00:00:00
280,33,9,Quiz 1,quiz,57.6,100.0,2026-01-08T00:00:00
281,33,9,Midterm,midterm,49.5,100.0,2025-12-19T00:00:00
282,33,9,Final Exam,final,59.3,100.0,2026-01-27T00:00:00
283,33,8,Quiz 1,quiz,31.4,100.0,2025-11-22T00:00:00
284,33,8,Midterm,midterm,65.4,100.0,2026-02-13T00:00:00
285,33,8,Final Exam,final,62.0,100.0,2025-11-10T00:00:00
286,34,5,Quiz 1,quiz,72.3,100.0,2026-02-23T00:00:00
287,34,5,Midterm,midterm,70.7,100.0,2025-12-31T00:00:00
288,34,5,Final Exam,final,88.9,100.0,2025-12-16T00:00:00
289,34,7,Quiz 1,quiz,100.0,100.0,2026-01-31T00:00:00
290,34,7,Midterm,midterm,87.1,100.0,2025-11-02T00:00:00
291,34,7,Final Exam,final,63.2,100.0,2026-01-23T00:00:00
292,34,6,Quiz 1,quiz,62.6,100.0,2026-01-09T00:00:00
293,34,6,Midterm,midterm,83.0,100.0,2025-11-08T00:00:00
294,34,6,Final Exam,final,44.7,100.0,2026-02-11T00:00:00
295,36,38,Quiz 1,quiz,65.3,100.0,2026-02-17T00:00:00
296,36,38,Midterm,midterm,66.4,100.0,2025-11-09T00:00:00
297,36,38,Final Exam,final,78.8,100.0,2026-01-17T00:00:00
298,36,39,Quiz 1,quiz,79.2,100.0,2026-02-09T00:00:00
299,36,39,Midterm,midterm,58.8,100.0,2025-12-20T00:00:00
300,36,39,Final Exam,final,63.8,100.0,2025-12-02T00:00:00
301,36,37,Quiz 1,quiz,76.7,100.0,2026-02-14T00:00:00
302,36,37,Midterm,midterm,58.0,100.0,2025-11-06T00:00:00
303,36,37,Final Exam,final,88.1,100.0,2025-12-03T00:00:00
304,36,35,Quiz 1,quiz,79.1,100.0,2025-12-13T00:00:00
305,36,35,Midterm,midterm,72.6,100.0,2026-01-31T00:00:00
306,36,35,Final Exam,final,75.9,100.0,2026-01-21T00:00:00
307,37,37,Quiz 1,quiz,63.0,100.0,2025-11-25T00:00:00
308,37,37,Midterm,midterm,60.6,100.0,2025-11-05T00:00:00
309,37,37,Final Exam,final,63.6,100.0,2025-12-20T00:00:00
310,37,38,Quiz 1,quiz,77.5,100.0,2026-01-17T00:00:00
311,37,38,Midterm,midterm,73.0,100.0,2026-02-10T00:00:00
312,37,38,Final Exam,final,63.7,100.0,2025-11-30T00:00:00
313,37,36,Quiz 1,quiz,81.2,100.0,2025-12-12T00:00:00
314,37,36,Midterm,midterm,67.4,100.0,2026-02-01T00:00:00
315,37,36,Final Exam,final,59.6,100.0,2026-01-09T00:00:00
316,38,47,Quiz 1,quiz,73.8,100.0,2026-01-04T00:00:00
317,38,47,Midterm,midterm,54.8,100.0,2026-02-15T00:00:00
318,38,47,Final Exam,final,44.7,100.0,2025-11-19T00:00:00
319,38,45,Quiz 1,quiz,69.9,100.0,2025-12-05T00:00:00
320,38,45,Midterm,midterm,60.1,100.0,2026-01-19T00:00:00
321,38,45,Final Exam,final,66.2,100.0,2026-02-23T00:00:00
322,38,46,Quiz 1,quiz,55.5,100.0,2025-11-30T00:00:00
323,38,46,Midterm,midterm,88.1,100.0,2025-12-13T00:00:00
324,38,46,Final Exam,final,60.1,100.0,2026-02-17T00:00:00
325,39,21,Quiz 1,quiz,63.5,100.0,2025-11-30T00:00:00
326,39,21,Midterm,midterm,75.7,100.0,2026-02-21T00:00:00
327,39,21,Final Exam,final,49.4,100.0,2025-12-10T00:00:00
328,39,17,Quiz 1,quiz,48.2,100.0,2025-11-02T00:00:00
329,39,17,Midterm,midterm,75.7,100.0,2025-11-05T00:00:00
330,39,17,Final Exam,final,63.3,100.0,2026-02-18T00:00:00
331,39,34,Quiz 1,quiz,56.5,100.0,2026-02-26T00:00:00
332,39,34,Midterm,midterm,79.1,100.0,2026-02-19T00:00:00
333,39,34,Final Exam,final,57.8,100.0,2026-01-29T00:00:00
334,39,39,Quiz 1,quiz,65.9,100.0,2026-02-09T00:00:00
335,39,39,Midterm,midterm,56.6,100.0,2026-01-21T00:00:00
336,39,39,Final Exam,final,74.6,100.0,2026-02-03T00:00:00
337,40,40,Quiz 1,quiz,90.0,100.0,2025-11-14T00:00:00
338,40,40,Midterm,midterm,42.1,100.0,2026-01-05T00:00:00
339,40,40,Final Exam,final,71.7,100.0,2025-11-09T00:00:00
340,40,36,Quiz 1,quiz,82.8,100.0,2026-01-31T00:00:00
341,40,36,Midterm,midterm,63.7,100.0,2026-02-20T00:00:00
342,40,36,Final Exam,final,53.0,100.0,2025-12-21T00:00:00
343,40,38,Quiz 1,quiz,76.3,100.0,2025-12-27T00:00:00
344,40,38,Midterm,midterm,85.0,100.0,2025-12-31T00:00:00
345,40,38,Final Exam,final,83.4,100.0,2026-01-04T00:00:00
346,41,27,Quiz 1,quiz,75.5,100.0,2025-12-07T00:00:00
347,41,27,Midterm,midterm,71.5,100.0,2026-01-05T00:00:00
348,41,27,Final Exam,final,56.5,100.0,2026-02-24T00:00:00
349,41,25,Quiz 1,quiz,83.0,100.0,2025-11-09T00:00:00
350,41,25,Midterm,midterm,82.1,100.0,2026-02-16T00:00:00
351,41,25,Final Exam,final,52.9,100.0,2025-12-25T00:00:00
352,41,26,Quiz 1,quiz,75.5,100.0,2025-12-15T00:00:00
353,41,26,Midterm,midterm,79.8,100.0,2025-11-23T00:00:00
354,41,26,Final Exam,final,83.2,100.0,2025-12-06T00:00:00
355,41,28,Quiz 1,quiz,68.9,100.0,2025-12-03T00:00:00
356,41,28,Midterm,midterm,57.1,100.0,2025-12-03T00:00:00
357,41,28,Final Exam,final,62.5,100.0,2026-02-26T00:00:00
358,42,6,Quiz 1,quiz,54.9,100.0,2026-01-25T00:00:00
359,42,6,Midterm,midterm,69.2,100.0,2025-12-17T00:00:00
360,42,6,Final Exam,final,66.3,100.0,2025-12-04T00:00:00
361,42,7,Quiz 1,quiz,100.0,100.0,2025-12-04T00:00:00
362,42,7,Midterm,midterm,83.4,100.0,2025-12-25T00:00:00
363,42,7,Final Exam,final,84.5,100.0,2025-11-07T00:00:00
364,42,5,Quiz 1,quiz,77.1,100.0,2026-02-14T00:00:00
365,42,5,Midterm,midterm,64.5,100.0,2026-01-08T00:00:00
366,42,5,Final Exam,final,65.9,100.0,2025-11-27T00:00:00
367,43,17,Quiz 1,quiz,67.2,100.0,2026-02-13T00:00:00
368,43,17,Midterm,midterm,72.8,100.0,2026-01-08T00:00:00
369,43,17,Final Exam,final,75.8,100.0,2026-02-21T00:00:00
370,43,18,Quiz 1,quiz,70.0,100.0,2025-12-17T00:00:00
371,43,18,Midterm,midterm,65.6,100.0,2026-01-28T00:00:00
372,43,18,Final Exam,final,61.1,100.0,2025-11-09T00:00:00
373,43,16,Quiz 1,quiz,49.1,100.0,2025-12-31T00:00:00
374,43,16,Midterm,midterm,89.3,100.0,2026-01-17T00:00:00
375,43,16,Final Exam,final,100.0,100.0,2026-01-19T00:00:00
376,43,14,Quiz 1,quiz,88.0,100.0,2025-11-28T00:00:00
377,43,14,Midterm,midterm,51.1,100.0,2025-12-28T00:00:00
378,43,14,Final Exam,final,81.8,100.0,2026-01-30T00:00:00
379,44,5,Quiz 1,quiz,85.4,100.0,2026-02-09T00:00:00
380,44,5,Midterm,midterm,63.9,100.0,2026-01-10T00:00:00
381,44,5,Final Exam,final,77.3,100.0,2025-11-14T00:00:00
382,44,7,Quiz 1,quiz,63.2,100.0,2025-11-02T00:00:00
383,44,7,Midterm,midterm,92.9,100.0,2026-01-22T00:00:00
