id,student_id,academic_year,semester,weighted_average,total_credits,failed_courses,status_at_time,failed_courses_json,academic_year_label,year_level,result_type,created_at
35,11,2021,1,63.27,19,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
36,11,2021,2,70.0,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
37,11,2022,1,59.21,19,0,REPEATER,,2022/2023,2,REPEATER,2023-01-15T00:00:00
38,11,2022,2,82.11,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
39,11,2023,1,63.23,20,1,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-01-15T00:00:00
40,11,2023,2,67.63,17,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
41,11,2024,1,71.76,18,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
42,11,2024,2,85.48,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
43,12,2021,1,93.1,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
44,12,2021,2,93.93,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
45,12,2022,1,56.62,17,0,REPEATER,,2022/2023,2,REPEATER,2023-01-15T00:00:00
46,12,2022,2,67.52,16,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
47,13,2021,1,65.24,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
48,13,2021,2,76.44,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
49,13,2022,1,75.71,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
50,13,2022,2,65.0,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
51,14,2021,1,64.06,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
52,14,2021,2,60.03,17,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
53,14,2022,1,40.15,16,2,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
54,14,2022,2,56.42,16,0,REPEATER,,2022/2023,2,REPEATER,2023-06-15T00:00:00
55,15,2021,1,82.4,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
56,15,2021,2,89.58,19,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
57,16,2021,1,88.17,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
58,16,2021,2,82.91,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
59,18,2021,1,59.86,15,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
60,18,2021,2,57.83,17,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
61,18,2022,1,50.27,15,2,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
62,18,2022,2,65.0,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
63,19,2021,1,73.05,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
64,19,2021,2,59.91,16,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
65,19,2022,1,77.17,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
66,19,2022,2,79.82,16,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
67,19,2023,1,66.31,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
68,19,2023,2,55.92,15,2,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-06-15T00:00:00
69,19,2024,1,88.57,18,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
70,19,2024,2,72.42,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
71,20,2021,1,95.29,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
72,20,2021,2,73.11,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
73,21,2021,1,73.95,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
74,21,2021,2,60.43,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
75,23,2021,1,66.92,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
76,23,2021,2,53.29,18,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
77,23,2022,1,55.88,15,2,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
78,23,2022,2,80.89,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
79,23,2023,1,68.61,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
80,23,2023,2,66.93,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
81,23,2024,1,63.11,17,2,CARRY_OVER,,2024/2025,4,CARRY_OVER,2025-01-15T00:00:00
82,23,2024,2,67.37,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
83,24,2021,1,85.6,19,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
84,24,2021,2,73.73,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
85,24,2022,1,57.84,17,0,REPEATER,,2022/2023,2,REPEATER,2023-01-15T00:00:00
86,24,2022,2,84.36,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
87,24,2023,1,92.7,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
88,24,2023,2,77.94,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
89,24,2024,1,82.7,17,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
90,24,2024,2,86.65,18,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
91,25,2021,1,52.12,16,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
92,25,2021,2,94.37,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
93,25,2022,1,85.19,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
94,25,2022,2,77.87,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
95,25,2023,1,70.49,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
96,25,2023,2,55.95,20,0,REPEATER,,2023/2024,3,REPEATER,2024-06-15T00:00:00
97,25,2024,1,68.02,17,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
98,25,2024,2,77.38,19,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
99,26,2021,1,58.75,20,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
100,26,2021,2,71.16,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
101,26,2022,1,57.8,18,2,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
102,26,2022,2,67.38,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
103,26,2023,1,55.77,17,0,REPEATER,,2023/2024,3,REPEATER,2024-01-15T00:00:00
104,26,2023,2,54.51,19,0,REPEATER,,2023/2024,3,REPEATER,2024-06-15T00:00:00
105,29,2021,1,76.08,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
106,29,2021,2,65.04,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
107,29,2022,1,66.17,16,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
108,29,2022,2,64.4,16,1,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-06-15T00:00:00
109,30,2021,1,100.0,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
110,30,2021,2,79.29,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
111,31,2021,1,80.58,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
112,31,2021,2,62.7,16,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
113,31,2022,1,78.06,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
114,31,2022,2,69.27,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
115,31,2023,1,62.6,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
116,31,2023,2,95.15,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
117,31,2024,1,78.87,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
118,31,2024,2,78.27,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
119,32,2021,1,60.34,19,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
120,32,2021,2,56.76,19,0,REPEATER,,2021/2022,1,REPEATER,2022-06-15T00:00:00
121,32,2022,1,71.31,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
122,32,2022,2,65.12,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
123,32,2023,1,79.35,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
124,32,2023,2,80.15,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
125,33,2021,1,72.79,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
126,33,2021,2,81.93,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
127,33,2022,1,74.32,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
128,33,2022,2,61.54,15,1,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-06-15T00:00:00
129,33,2023,1,69.62,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
130,33,2023,2,73.63,17,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
131,33,2024,1,83.15,17,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
132,33,2024,2,74.7,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
133,34,2021,1,65.14,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
134,34,2021,2,83.59,19,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
135,34,2022,1,76.57,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
136,34,2022,2,90.55,16,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
137,34,2023,1,73.05,20,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
138,34,2023,2,59.55,17,2,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-06-15T00:00:00
139,34,2024,1,86.12,17,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
140,34,2024,2,65.08,17,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
141,34,2025,1,75.55,20,0,PROMOTED,,2025/2026,5,PROMOTED,2026-01-15T00:00:00
142,34,2025,2,74.23,15,0,PROMOTED,,2025/2026,5,PROMOTED,2026-06-15T00:00:00
143,36,2021,1,72.55,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
144,36,2021,2,69.96,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
145,37,2021,1,52.17,20,0,REPEATER,,2021/2022,1,REPEATER,2022-01-15T00:00:00
146,37,2021,2,59.97,15,0,REPEATER,,2021/2022,1,REPEATER,2022-06-15T00:00:00
147,37,2022,1,85.47,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
148,37,2022,2,77.15,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
149,37,2023,1,94.91,18,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
150,37,2023,2,59.55,16,2,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-06-15T00:00:00
151,37,2024,1,71.63,20,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
152,37,2024,2,85.96,20,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
153,38,2021,1,65.21,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
154,38,2021,2,66.18,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
155,38,2022,1,68.48,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
156,38,2022,2,66.66,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
157,38,2023,1,78.38,18,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
158,38,2023,2,50.64,17,1,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-06-15T00:00:00
159,38,2024,1,91.71,19,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
160,38,2024,2,60.48,19,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
161,39,2021,1,46.59,17,0,REPEATER,,2021/2022,1,REPEATER,2022-01-15T00:00:00
162,39,2021,2,71.88,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
163,39,2022,1,67.47,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
164,39,2022,2,69.86,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
165,39,2023,1,75.75,18,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
166,39,2023,2,79.74,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
167,40,2021,1,92.24,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
168,40,2021,2,63.72,17,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
169,41,2021,1,81.29,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
170,41,2021,2,80.51,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
171,41,2022,1,40.31,19,2,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
172,41,2022,2,62.0,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
173,41,2023,1,56.56,16,1,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-01-15T00:00:00
174,41,2023,2,77.37,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
175,41,2024,1,76.05,18,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
176,41,2024,2,76.3,19,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
177,42,2021,1,68.33,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
178,42,2021,2,69.54,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
179,42,2022,1,71.66,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
180,42,2022,2,67.19,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
181,42,2023,1,81.33,16,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
182,42,2023,2,59.16,19,0,REPEATER,,2023/2024,3,REPEATER,2024-06-15T00:00:00
183,42,2024,1,62.62,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
184,42,2024,2,73.46,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
185,42,2025,1,67.58,15,0,PROMOTED,,2025/2026,5,PROMOTED,2026-01-15T00:00:00
186,42,2025,2,58.69,16,1,CARRY_OVER,,2025/2026,5,CARRY_OVER,2026-06-15T00:00:00
187,43,2021,1,78.38,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
188,43,2021,2,65.13,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
189,43,2022,1,61.86,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
190,43,2022,2,69.91,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
191,43,2023,1,61.28,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
192,43,2023,2,71.59,16,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
193,44,2021,1,67.68,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
194,44,2021,2,65.85,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
195,45,2021,1,65.92,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
196,45,2021,2,83.95,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
197,46,2021,1,76.43,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
198,46,2021,2,51.49,17,0,REPEATER,,2021/2022,1,REPEATER,2022-06-15T00:00:00
199,46,2022,1,82.6,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
200,46,2022,2,78.2,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
201,47,2021,1,77.49,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
202,47,2021,2,82.65,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
203,47,2022,1,72.18,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
204,47,2022,2,79.44,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
205,48,2021,1,66.43,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
206,48,2021,2,82.17,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
207,48,2022,1,74.62,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
208,48,2022,2,55.48,16,1,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-06-15T00:00:00
209,48,2023,1,84.44,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
210,48,2023,2,70.45,16,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
211,49,2021,1,68.78,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
212,49,2021,2,66.69,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
213,49,2022,1,67.57,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
214,49,2022,2,74.76,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
215,50,2021,1,60.15,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
216,50,2021,2,53.18,16,0,REPEATER,,2021/2022,1,REPEATER,2022-06-15T00:00:00
217,50,2022,1,59.23,16,0,REPEATER,,2022/2023,2,REPEATER,2023-01-15T00:00:00
218,50,2022,2,76.58,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
219,50,2023,1,70.06,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
220,50,2023,2,85.36,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
221,51,2021,1,71.22,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
222,51,2021,2,82.11,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
223,51,2022,1,63.69,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
224,51,2022,2,66.78,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
225,51,2023,1,72.11,17,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
226,51,2023,2,70.24,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
227,51,2024,1,69.12,18,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
228,51,2024,2,61.53,19,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
229,52,2021,1,52.97,20,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
230,52,2021,2,79.57,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
231,52,2022,1,78.23,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
232,52,2022,2,64.63,16,1,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-06-15T00:00:00
233,54,2021,1,76.55,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
234,54,2021,2,70.0,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
235,55,2021,1,85.27,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
236,55,2021,2,56.25,17,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
237,55,2022,1,70.48,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
238,55,2022,2,69.52,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
239,55,2023,1,73.93,17,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
240,55,2023,2,90.45,15,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
241,55,2024,1,70.52,15,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
242,55,2024,2,80.92,19,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
243,55,2025,1,70.23,19,0,PROMOTED,,2025/2026,5,PROMOTED,2026-01-15T00:00:00
244,55,2025,2,84.85,16,0,PROMOTED,,2025/2026,5,PROMOTED,2026-06-15T00:00:00
245,56,2021,1,81.03,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
246,56,2021,2,68.0,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
247,56,2022,1,67.14,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
248,56,2022,2,77.84,16,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
249,56,2023,1,64.14,16,1,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-01-15T00:00:00
250,56,2023,2,74.29,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
251,56,2024,1,67.73,15,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
252,56,2024,2,76.42,18,0,PROMOTED,,2024/2025,4,PROMOTED,2025-06-15T00:00:00
253,56,2025,1,70.07,19,0,PROMOTED,,2025/2026,5,PROMOTED,2026-01-15T00:00:00
254,56,2025,2,63.69,19,0,PROMOTED,,2025/2026,5,PROMOTED,2026-06-15T00:00:00
255,58,2021,1,85.26,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
256,58,2021,2,74.87,16,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
257,58,2022,1,71.36,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
258,58,2022,2,77.04,17,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
259,59,2021,1,51.95,17,0,REPEATER,,2021/2022,1,REPEATER,2022-01-15T00:00:00
