id,name,course_code,description,department_id,instructor_id,doctor_id,drive_link,weekly_schedule,max_score,academic_year,semester,credits,passing_score,parent_course_id,tier_level,is_elective,has_practical,assessment_blueprint
16,General Medicine Course 3,MED-043,A course in General Medicine,4,15,12,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
17,General Medicine Course 4,MED-044,A course in General Medicine,4,9,5,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,3.0,60.0,,1,False,False,
18,General Medicine Course 5,MED-045,A course in General Medicine,4,16,18,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,True,True,
19,Surgery Course 1,MED-051,A course in Surgery,5,18,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,False,
20,Surgery Course 2,MED-052,A course in Surgery,5,18,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,3.0,60.0,,1,True,False,
21,Surgery Course 3,MED-053,A course in Surgery,5,6,13,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,False,False,
22,Surgery Course 4,MED-054,A course in Surgery,5,11,8,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,False,False,
23,Surgery Course 5,MED-055,A course in Surgery,5,17,7,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,True,True,
24,Surgery Course 6,MED-056,A course in Surgery,5,11,14,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
25,Pediatrics Course 1,MED-061,A course in Pediatrics,6,2,6,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
26,Pediatrics Course 2,MED-062,A course in Pediatrics,6,13,19,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,False,False,
27,Pediatrics Course 3,MED-063,A course in Pediatrics,6,12,2,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,False,True,
28,Pediatrics Course 4,MED-064,A course in Pediatrics,6,16,7,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,3.0,60.0,,1,False,True,
29,Software Engineering Course 1,CS-071,A course in Software Engineering,7,2,12,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,True,True,
30,Software Engineering Course 2,CS-072,A course in Software Engineering,7,3,10,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,True,False,
31,Software Engineering Course 3,CS-073,A course in Software Engineering,7,13,18,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
32,Software Engineering Course 4,CS-074,A course in Software Engineering,7,18,6,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,True,False,
33,Software Engineering Course 5,CS-075,A course in Software Engineering,7,15,12,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,True,True,
34,Software Engineering Course 6,CS-076,A course in Software Engineering,7,17,13,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,True,False,
35,Data Science Course 1,CS-081,A course in Data Science,8,11,12,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,3.0,60.0,,1,False,False,
36,Data Science Course 2,CS-082,A course in Data Science,8,8,11,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,3.0,60.0,,1,False,False,
37,Data Science Course 3,CS-083,A course in Data Science,8,12,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,3.0,60.0,,1,False,True,
38,Data Science Course 4,CS-084,A course in Data Science,8,10,2,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,True,False,
39,Data Science Course 5,CS-085,A course in Data Science,8,10,1,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
40,Data Science Course 6,CS-086,A course in Data Science,8,18,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,True,True,
41,Cybersecurity Course 1,CS-091,A course in Cybersecurity,9,12,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
42,Cybersecurity Course 2,CS-092,A course in Cybersecurity,9,13,19,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,True,True,
43,Cybersecurity Course 3,CS-093,A course in Cybersecurity,9,6,16,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,False,False,
44,Cybersecurity Course 4,CS-094,A course in Cybersecurity,9,10,4,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,False,True,
45,Accounting Course 1,BUS-101,A course in Accounting,10,12,11,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,3.0,60.0,,1,False,True,
46,Accounting Course 2,BUS-102,A course in Accounting,10,1,8,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,True,
47,Accounting Course 3,BUS-103,A course in Accounting,10,5,18,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,False,True,
48,Marketing Course 1,BUS-111,A course in Marketing,11,17,15,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,False,
49,Marketing Course 2,BUS-112,A course in Marketing,11,5,5,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,False,
50,Marketing Course 3,BUS-113,A course in Marketing,11,13,18,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,False,
