id,student_id,course_id,enrolled_at,status,academic_year_snapshot,is_current,semester_snapshot,final_percentage,result,attendance_exception
26,10,3,2025-09-30T00:00:00,FAILED,1,False,2,62.1,FAILED,False
27,11,20,2025-09-12T00:00:00,ACTIVE,4,True,1,,,False
28,11,16,2025-09-12T00:00:00,ACTIVE,4,True,1,,,False
29,11,3,2025-09-17T00:00:00,COMPLETED,4,False,1,46.5,FAILED,False
30,11,34,2025-09-02T00:00:00,ACTIVE,4,True,1,,,False
31,12,29,2025-09-29T00:00:00,ACTIVE,2,True,1,,,False
32,12,33,2025-09-05T00:00:00,ACTIVE,2,True,1,,,False
33,12,31,2025-09-13T00:00:00,ACTIVE,2,True,1,,,False
34,12,34,2025-09-22T00:00:00,ACTIVE,2,True,1,,,False
35,12,32,2025-09-21T00:00:00,ACTIVE,2,True,1,,,False
36,12,30,2025-09-14T00:00:00,ACTIVE,2,True,1,,,False
37,13,46,2025-09-05T00:00:00,FAILED,2,False,2,61.4,FAILED,False
38,13,47,2025-09-05T00:00:00,ACTIVE,2,True,2,,,False
39,13,45,2025-09-22T00:00:00,ACTIVE,2,True,2,,,False
40,14,21,2025-09-25T00:00:00,COMPLETED,2,False,2,99.7,PASSED,False
41,14,23,2025-09-30T00:00:00,ACTIVE,2,True,2,,,False
42,14,20,2025-09-03T00:00:00,COMPLETED,2,False,2,41.1,FAILED,False
43,14,22,2025-09-24T00:00:00,ACTIVE,2,True,2,,,False
44,15,15,2025-09-14T00:00:00,DROPPED,1,False,1,,,False
45,15,14,2025-09-24T00:00:00,ACTIVE,1,True,1,,,False
46,15,18,2025-09-29T00:00:00,ACTIVE,1,True,1,,,False
47,15,16,2025-09-24T00:00:00,ACTIVE,1,True,1,,,False
48,16,1,2025-09-01T00:00:00,DROPPED,1,False,2,,,False
49,16,4,2025-09-20T00:00:00,ACTIVE,1,True,2,,,False
50,16,3,2025-09-20T00:00:00,ACTIVE,1,True,2,,,False
51,18,50,2025-09-22T00:00:00,ACTIVE,2,True,2,,,False
52,18,48,2025-09-25T00:00:00,COMPLETED,2,False,2,35.6,FAILED,False
53,18,49,2025-09-17T00:00:00,ACTIVE,2,True,2,,,False
54,19,27,2025-09-06T00:00:00,FAILED,4,False,2,63.2,FAILED,False
55,19,25,2025-09-02T00:00:00,ACTIVE,4,True,2,,,False
56,19,26,2025-09-01T00:00:00,ACTIVE,4,True,2,,,False
57,19,28,2025-09-14T00:00:00,ACTIVE,4,True,2,,,False
58,20,30,2025-09-28T00:00:00,ACTIVE,1,True,2,,,False
59,20,29,2025-09-23T00:00:00,ACTIVE,1,True,2,,,False
60,20,34,2025-09-15T00:00:00,ACTIVE,1,True,2,,,False
61,20,32,2025-09-25T00:00:00,COMPLETED,1,False,2,59.9,FAILED,False
62,21,50,2025-09-20T00:00:00,ACTIVE,1,True,2,,,False
63,21,49,2025-09-19T00:00:00,ACTIVE,1,True,2,,,False
64,21,48,2025-09-17T00:00:00,ACTIVE,1,True,2,,,False
65,23,39,2025-09-15T00:00:00,ACTIVE,4,True,2,,,False
66,23,35,2025-09-02T00:00:00,ACTIVE,4,True,2,,,False
67,23,38,2025-09-08T00:00:00,ACTIVE,4,True,2,,,False
68,24,7,2025-09-17T00:00:00,ACTIVE,4,True,2,,,False
69,24,5,2025-09-07T00:00:00,FAILED,4,False,2,97.4,FAILED,False
70,24,6,2025-09-10T00:00:00,FAILED,4,False,2,57.9,FAILED,False
71,25,11,2025-09-23T00:00:00,ACTIVE,4,True,2,,,False
72,25,9,2025-09-05T00:00:00,ACTIVE,4,True,2,,,False
73,25,13,2025-09-03T00:00:00,COMPLETED,4,False,2,75.2,PASSED,False
74,25,12,2025-09-04T00:00:00,ACTIVE,4,True,2,,,False
75,25,8,2025-09-19T00:00:00,ACTIVE,4,True,2,,,False
76,26,22,2025-09-01T00:00:00,ACTIVE,3,True,1,,,False
77,26,24,2025-09-23T00:00:00,COMPLETED,3,False,1,71.3,PASSED,False
78,26,21,2025-09-03T00:00:00,COMPLETED,3,False,1,91.8,PASSED,False
79,26,20,2025-09-23T00:00:00,ACTIVE,3,True,1,,,False
80,29,40,2025-09-23T00:00:00,ACTIVE,2,True,2,,,False
81,29,35,2025-09-12T00:00:00,ACTIVE,2,True,2,,,False
82,29,39,2025-09-24T00:00:00,COMPLETED,2,False,2,79.5,PASSED,False
83,29,38,2025-09-17T00:00:00,ACTIVE,2,True,2,,,False
84,30,44,2025-09-02T00:00:00,ACTIVE,1,True,1,,,False
85,30,43,2025-09-19T00:00:00,COMPLETED,1,False,1,93.9,PASSED,False
86,30,42,2025-09-28T00:00:00,ACTIVE,1,True,1,,,False
87,31,20,2025-09-25T00:00:00,COMPLETED,4,False,2,51.7,FAILED,False
88,31,19,2025-09-10T00:00:00,ACTIVE,4,True,2,,,False
89,31,22,2025-09-04T00:00:00,ACTIVE,4,True,2,,,False
90,31,24,2025-09-07T00:00:00,ACTIVE,4,True,2,,,True
91,32,1,2025-09-01T00:00:00,COMPLETED,3,False,1,68.0,PASSED,False
92,32,2,2025-09-07T00:00:00,FAILED,3,False,1,64.5,FAILED,False
93,32,3,2025-09-14T00:00:00,COMPLETED,3,False,1,63.3,PASSED,False
94,32,4,2025-09-20T00:00:00,ACTIVE,3,True,1,,,False
95,33,12,2025-09-02T00:00:00,COMPLETED,4,False,2,42.9,FAILED,False
96,33,10,2025-09-02T00:00:00,ACTIVE,4,True,2,,,False
97,33,9,2025-09-02T00:00:00,ACTIVE,4,True,2,,,False
98,33,8,2025-09-10T00:00:00,FAILED,4,False,2,88.7,FAILED,False
99,34,5,2025-09-06T00:00:00,ACTIVE,5,True,2,,,False
100,34,7,2025-09-10T00:00:00,ACTIVE,5,True,2,,,False
101,34,6,2025-09-23T00:00:00,ACTIVE,5,True,2,,,False
102,36,38,2025-09-03T00:00:00,ACTIVE,1,True,1,,,False
103,36,39,2025-09-11T00:00:00,ACTIVE,1,True,1,,,False
104,36,37,2025-09-13T00:00:00,ACTIVE,1,True,1,,,False
105,36,35,2025-09-25T00:00:00,ACTIVE,1,True,1,,,False
106,37,37,2025-09-28T00:00:00,FAILED,4,False,1,38.5,FAILED,False
107,37,38,2025-09-17T00:00:00,COMPLETED,4,False,1,66.9,PASSED,False
108,37,36,2025-09-07T00:00:00,ACTIVE,4,True,1,,,False
109,38,47,2025-09-24T00:00:00,ACTIVE,4,True,2,,,False
110,38,45,2025-09-30T00:00:00,ACTIVE,4,True,2,,,False
111,38,46,2025-09-23T00:00:00,ACTIVE,4,True,2,,,False
112,39,21,2025-09-16T00:00:00,ACTIVE,3,True,1,,,False
113,39,17,2025-09-08T00:00:00,COMPLETED,3,False,1,91.9,PASSED,False
114,39,34,2025-09-07T00:00:00,ACTIVE,3,True,1,,,True
115,39,39,2025-09-01T00:00:00,ACTIVE,3,True,1,,,False
116,40,40,2025-09-14T00:00:00,ACTIVE,1,True,1,,,False
117,40,36,2025-09-12T00:00:00,ACTIVE,1,True,1,,,False
118,40,38,2025-09-01T00:00:00,FAILED,1,False,1,74.6,FAILED,False
119,41,27,2025-09-11T00:00:00,COMPLETED,4,False,2,65.5,PASSED,False
120,41,25,2025-09-04T00:00:00,ACTIVE,4,True,2,,,False
121,41,26,2025-09-24T00:00:00,FAILED,4,False,2,53.9,FAILED,False
122,41,28,2025-09-01T00:00:00,ACTIVE,4,True,2,,,False
123,42,6,2025-09-26T00:00:00,FAILED,5,False,1,94.1,FAILED,False
124,42,7,2025-09-05T00:00:00,COMPLETED,5,False,1,39.5,FAILED,False
125,42,5,2025-09-29T00:00:00,ACTIVE,5,True,1,,,False
126,43,17,2025-09-27T00:00:00,ACTIVE,3,True,2,,,False
127,43,18,2025-09-19T00:00:00,ACTIVE,3,True,2,,,False
128,43,16,2025-09-11T00:00:00,ACTIVE,3,True,2,,,False
129,43,14,2025-09-19T00:00:00,COMPLETED,3,False,2,31.3,FAILED,False
130,44,5,2025-09-27T00:00:00,ACTIVE,1,True,2,,,False
131,44,7,2025-09-13T00:00:00,ACTIVE,1,True,2,,,False
132,44,6,2025-09-19T00:00:00,COMPLETED,1,False,2,89.0,PASSED,False
133,45,39,2025-09-28T00:00:00,DROPPED,1,False,1,,,False
134,45,35,2025-09-02T00:00:00,ACTIVE,1,True,1,,,False
135,45,37,2025-09-03T00:00:00,ACTIVE,1,True,1,,,False
136,45,38,2025-09-08T00:00:00,ACTIVE,1,True,1,,,False
137,46,45,2025-09-04T00:00:00,ACTIVE,2,True,2,,,False
138,46,46,2025-09-07T00:00:00,FAILED,2,False,2,32.6,FAILED,False
139,46,47,2025-09-15T00:00:00,ACTIVE,2,True,2,,,False
140,47,50,2025-09-11T00:00:00,ACTIVE,2,True,1,,,False
141,47,48,2025-09-24T00:00:00,ACTIVE,2,True,1,,,False
142,47,49,2025-09-10T00:00:00,ACTIVE,2,True,1,,,False
143,48,35,2025-09-15T00:00:00,COMPLETED,3,False,2,80.7,PASSED,False
144,48,39,2025-09-04T00:00:00,COMPLETED,3,False,2,90.5,PASSED,True
145,48,36,2025-09-30T00:00:00,ACTIVE,3,True,2,,,False
146,48,40,2025-09-28T00:00:00,ACTIVE,3,True,2,,,False
147,49,49,2025-09-04T00:00:00,ACTIVE,2,True,1,,,False
148,49,50,2025-09-10T00:00:00,FAILED,2,False,1,76.1,FAILED,False
149,49,48,2025-09-21T00:00:00,FAILED,2,False,1,83.1,FAILED,False
150,50,18,2025-09-05T00:00:00,ACTIVE,3,True,2,,,False
151,50,19,2025-09-20T00:00:00,COMPLETED,3,False,2,38.0,FAILED,False
152,50,21,2025-09-18T00:00:00,COMPLETED,3,False,2,37.2,FAILED,False
153,50,13,2025-09-11T00:00:00,ACTIVE,3,True,2,,,False
154,51,2,2025-09-11T00:00:00,FAILED,4,False,1,72.9,FAILED,False
155,51,1,2025-09-02T00:00:00,ACTIVE,4,True,1,,,False
156,51,3,2025-09-16T00:00:00,ACTIVE,4,True,1,,,False
157,51,4,2025-09-02T00:00:00,ACTIVE,4,True,1,,,False
158,52,1,2025-09-06T00:00:00,ACTIVE,2,True,1,,,False
159,52,2,2025-09-29T00:00:00,ACTIVE,2,True,1,,,False
160,52,3,2025-09-23T00:00:00,COMPLETED,2,False,1,88.5,PASSED,False
161,54,37,2025-09-30T00:00:00,ACTIVE,1,True,1,,,False
162,54,40,2025-09-05T00:00:00,COMPLETED,1,False,1,62.6,PASSED,False
163,54,36,2025-09-26T00:00:00,ACTIVE,1,True,1,,,False
164,54,39,2025-09-15T00:00:00,ACTIVE,1,True,1,,,False
165,54,35,2025-09-10T00:00:00,ACTIVE,1,True,1,,,False
166,55,28,2025-09-28T00:00:00,ACTIVE,5,True,1,,,False
167,55,25,2025-09-12T00:00:00,COMPLETED,5,False,1,48.1,FAILED,False
168,55,27,2025-09-23T00:00:00,ACTIVE,5,True,1,,,False
169,55,26,2025-09-11T00:00:00,ACTIVE,5,True,1,,,False
170,56,4,2025-09-16T00:00:00,ACTIVE,5,True,1,,,False
171,56,2,2025-09-28T00:00:00,COMPLETED,5,False,1,63.5,PASSED,False
172,56,1,2025-09-20T00:00:00,FAILED,5,False,1,83.8,FAILED,False
173,56,3,2025-09-13T00:00:00,COMPLETED,5,False,1,65.6,PASSED,False
174,58,31,2025-09-26T00:00:00,ACTIVE,2,True,2,,,False
175,58,33,2025-09-15T00:00:00,ACTIVE,2,True,2,,,False
176,58,29,2025-09-14T00:00:00,ACTIVE,2,True,2,,,False
177,59,16,2025-09-26T00:00:00,ACTIVE,3,True,1,,,False
178,59,36,2025-09-19T00:00:00,ACTIVE,3,True,1,,,False
179,59,31,2025-09-18T00:00:00,ACTIVE,3,True,1,,,False
180,59,11,2025-09-06T00:00:00,ACTIVE,3,True,1,,,False
181,60,34,2025-09-04T00:00:00,ACTIVE,4,True,2,,,False
182,60,33,2025-09-18T00:00:00,COMPLETED,4,False,2,62.4,PASSED,False
183,60,32,2025-09-15T00:00:00,ACTIVE,4,True,2,,,False
184,62,1,2025-09-11T00:00:00,ACTIVE,2,True,2,,,False
185,62,3,2025-09-03T00:00:00,COMPLETED,2,False,2,76.2,PASSED,False
186,62,4,2025-09-05T00:00:00,ACTIVE,2,True,2,,,False
187,62,2,2025-09-21T00:00:00,COMPLETED,2,False,2,93.2,PASSED,False
188,63,50,2025-09-18T00:00:00,ACTIVE,4,True,1,,,False
189,63,48,2025-09-20T00:00:00,ACTIVE,4,True,1,,,False
190,63,49,2025-09-22T00:00:00,COMPLETED,4,False,1,43.7,FAILED,False
191,64,7,2025-09-30T00:00:00,COMPLETED,1,False,1,80.2,PASSED,False
192,64,6,2025-09-01T00:00:00,COMPLETED,1,False,1,36.3,FAILED,False
193,64,5,2025-09-17T00:00:00,ACTIVE,1,True,1,,,False
194,65,16,2025-09-29T00:00:00,ACTIVE,5,True,1,,,False
195,65,14,2025-09-02T00:00:00,ACTIVE,5,True,1,,,True
196,65,15,2025-09-18T00:00:00,ACTIVE,5,True,1,,,False
197,66,45,2025-09-23T00:00:00,FAILED,2,False,2,46.5,FAILED,False
198,66,46,2025-09-21T00:00:00,ACTIVE,2,True,2,,,False
199,66,47,2025-09-13T00:00:00,DROPPED,2,False,2,,,False
200,67,7,2025-09-16T00:00:00,ACTIVE,4,True,2,,,False
201,67,5,2025-09-18T00:00:00,ACTIVE,4,True,2,,,False
202,67,6,2025-09-30T00:00:00,ACTIVE,4,True,2,,,False
203,68,5,2025-09-03T00:00:00,FAILED,2,False,2,39.4,FAILED,False
204,68,6,2025-09-29T00:00:00,COMPLETED,2,False,2,40.1,FAILED,False
205,68,7,2025-09-05T00:00:00,COMPLETED,2,False,2,60.6,PASSED,False
206,69,46,2025-09-14T00:00:00,COMPLETED,4,False,2,61.8,PASSED,False
207,69,47,2025-09-12T00:00:00,COMPLETED,4,False,2,61.5,PASSED,False
208,69,45,2025-09-01T00:00:00,COMPLETED,4,False,2,59.7,FAILED,False
209,71,13,2025-09-30T00:00:00,ACTIVE,2,True,2,,,False
210,71,12,2025-09-12T00:00:00,ACTIVE,2,True,2,,,False
211,71,10,2025-09-02T00:00:00,ACTIVE,2,True,2,,,False
212,71,9,2025-09-23T00:00:00,DROPPED,2,False,2,,,False
213,72,7,2025-09-17T00:00:00,FAILED,4,False,2,81.1,FAILED,False
214,72,5,2025-09-25T00:00:00,ACTIVE,4,True,2,,,False
215,72,6,2025-09-03T00:00:00,COMPLETED,4,False,2,62.5,PASSED,False
216,73,5,2025-09-18T00:00:00,FAILED,4,False,2,77.9,FAILED,False
217,73,6,2025-09-10T00:00:00,ACTIVE,4,True,2,,,False
218,73,7,2025-09-29T00:00:00,ACTIVE,4,True,2,,,False
219,74,44,2025-09-11T00:00:00,FAILED,3,False,2,70.2,FAILED,False
220,74,42,2025-09-26T00:00:00,ACTIVE,3,True,2,,,False
221,74,43,2025-09-23T00:00:00,COMPLETED,3,False,2,41.7,FAILED,False
222,75,3,2025-09-19T00:00:00,ACTIVE,3,True,1,,,False
223,75,1,2025-09-26T00:00:00,FAILED,3,False,1,99.3,FAILED,False
224,75,2,2025-09-01T00:00:00,DROPPED,3,False,1,,,False
225,75,4,2025-09-17T00:00:00,FAILED,3,False,1,35.8,FAILED,False
226,77,6,2025-09-09T00:00:00,ACTIVE,3,True,2,,,False
227,77,5,2025-09-04T00:00:00,FAILED,3,False,2,31.0,FAILED,False
228,77,7,2025-09-24T00:00:00,COMPLETED,3,False,2,93.7,PASSED,False
229,78,49,2025-09-26T00:00:00,ACTIVE,2,True,2,,,False
230,78,48,2025-09-26T00:00:00,COMPLETED,2,False,2,63.9,PASSED,False
231,78,50,2025-09-02T00:00:00,ACTIVE,2,True,2,,,False
232,79,45,2025-09-25T00:00:00,ACTIVE,2,True,1,,,False
233,79,47,2025-09-25T00:00:00,ACTIVE,2,True,1,,,False
234,79,46,2025-09-22T00:00:00,ACTIVE,2,True,1,,,False
235,80,48,2025-09-21T00:00:00,ACTIVE,1,True,2,,,False
236,80,49,2025-09-02T00:00:00,COMPLETED,1,False,2,87.4,PASSED,False
237,80,50,2025-09-13T00:00:00,ACTIVE,1,True,2,,,False
238,81,7,2025-09-13T00:00:00,COMPLETED,1,False,1,77.8,PASSED,False
239,81,5,2025-09-05T00:00:00,ACTIVE,1,True,1,,,False
240,81,6,2025-09-14T00:00:00,ACTIVE,1,True,1,,,True
241,82,38,2025-09-20T00:00:00,ACTIVE,1,True,1,,,False
242,82,37,2025-09-11T00:00:00,COMPLETED,1,False,1,90.1,PASSED,False
243,82,35,2025-09-26T00:00:00,ACTIVE,1,True,1,,,False
244,82,40,2025-09-13T00:00:00,COMPLETED,1,False,1,75.8,PASSED,False
245,82,36,2025-09-08T00:00:00,FAILED,1,False,1,77.3,FAILED,False
246,82,39,2025-09-07T00:00:00,COMPLETED,1,False,1,71.2,PASSED,False
247,83,6,2025-09-27T00:00:00,ACTIVE,2,True,2,,,False
248,83,5,2025-09-14T00:00:00,ACTIVE,2,True,2,,,False
249,83,7,2025-09-15T00:00:00,FAILED,2,False,2,37.3,FAILED,False
250,84,31,2025-09-02T00:00:00,ACTIVE,1,True,1,,,False
251,84,30,2025-09-27T00:00:00,FAILED,1,False,1,76.0,FAILED,False
252,84,29,2025-09-20T00:00:00,ACTIVE,1,True,1,,,False
253,84,32,2025-09-04T00:00:00,FAILED,1,False,1,79.6,FAILED,False
254,84,34,2025-09-13T00:00:00,COMPLETED,1,False,1,72.3,PASSED,False
255,85,29,2025-09-15T00:00:00,DROPPED,4,False,2,,,False
256,85,30,2025-09-03T00:00:00,ACTIVE,4,True,2,,,False
257,85,31,2025-09-09T00:00:00,COMPLETED,4,False,2,94.6,PASSED,False
258,85,33,2025-09-23T00:00:00,ACTIVE,4,True,2,,,False
259,86,6,2025-09-09T00:00:00,ACTIVE,4,True,1,,,False
260,86,5,2025-09-11T00:00:00,COMPLETED,4,False,1,56.8,FAILED,False
261,86,7,2025-09-27T00:00:00,FAILED,4,False,1,48.1,FAILED,False
262,87,25,2025-09-06T00:00:00,DROPPED,6,False,2,,,False
263,87,26,2025-09-18T00:00:00,COMPLETED,6,False,2,37.6,FAILED,False
264,87,28,2025-09-07T00:00:00,ACTIVE,6,True,2,,,False
265,87,27,2025-09-04T00:00:00,ACTIVE,6,True,2,,,False
266,88,5,2025-09-24T00:00:00,COMPLETED,3,False,1,34.9,FAILED,False
267,88,7,2025-09-15T00:00:00,ACTIVE,3,True,1,,,True
268,88,6,2025-09-16T00:00:00,ACTIVE,3,True,1,,,False
269,89,8,2025-09-05T00:00:00,ACTIVE,3,True,1,,,False
270,89,11,2025-09-29T00:00:00,ACTIVE,3,True,1,,,False
271,89,10,2025-09-01T00:00:00,ACTIVE,3,True,1,,,False
272,90,6,2025-09-28T00:00:00,ACTIVE,5,True,1,,,False
273,90,7,2025-09-26T00:00:00,ACTIVE,5,True,1,,,False
274,90,5,2025-09-18T00:00:00,ACTIVE,5,True,1,,,False
275,91,7,2025-09-19T00:00:00,DROPPED,1,False,1,,,False
276,91,6,2025-09-12T00:00:00,ACTIVE,1,True,1,,,False
277,91,5,2025-09-10T00:00:00,ACTIVE,1,True,1,,,False
278,93,14,2025-09-25T00:00:00,COMPLETED,4,False,2,88.9,PASSED,False
279,93,16,2025-09-21T00:00:00,ACTIVE,4,True,2,,,False
280,93,17,2025-09-13T00:00:00,FAILED,4,False,2,68.8,FAILED,False
281,93,15,2025-09-13T00:00:00,COMPLETED,4,False,2,50.9,FAILED,False
282,93,18,2025-09-21T00:00:00,ACTIVE,4,True,2,,,False
283,94,1,2025-09-05T00:00:00,ACTIVE,4,True,1,,,False
284,94,3,2025-09-19T00:00:00,FAILED,4,False,1,31.8,FAILED,False
285,94,2,2025-09-26T00:00:00,FAILED,4,False,1,57.2,FAILED,False
286,94,4,2025-09-10T00:00:00,ACTIVE,4,True,1,,,False
287,95,29,2025-09-07T00:00:00,COMPLETED,1,False,2,58.4,FAILED,False
288,95,34,2025-09-22T00:00:00,ACTIVE,1,True,2,,,False
289,95,31,2025-09-22T00:00:00,DROPPED,1,False,2,,,False
290,95,33,2025-09-18T00:00:00,ACTIVE,1,True,2,,,False
291,95,30,2025-09-30T00:00:00,FAILED,1,False,2,70.6,FAILED,False
292,95,32,2025-09-16T00:00:00,COMPLETED,1,False,2,81.5,PASSED,False
293,98,41,2025-09-02T00:00:00,COMPLETED,2,False,1,42.1,FAILED,False
294,98,44,2025-09-27T00:00:00,ACTIVE,2,True,1,,,False
295,98,43,2025-09-15T00:00:00,ACTIVE,2,True,1,,,False
296,98,42,2025-09-27T00:00:00,ACTIVE,2,True,1,,,False
297,100,25,2025-09-03T00:00:00,ACTIVE,6,True,2,,,False
298,100,26,2025-09-14T00:00:00,ACTIVE,6,True,2,,,False
299,100,28,2025-09-24T00:00:00,COMPLETED,6,False,2,88.5,PASSED,False
300,101,41,2025-09-27T00:00:00,ACTIVE,1,True,2,,,False
301,101,43,2025-09-07T00:00:00,ACTIVE,1,True,2,,,False
302,101,44,2025-09-19T00:00:00,DROPPED,1,False,2,,,False
303,101,42,2025-09-09T00:00:00,FAILED,1,False,2,34.4,FAILED,False
304,103,2,2025-09-30T00:00:00,FAILED,4,False,1,60.7,FAILED,False
305,103,3,2025-09-05T00:00:00,DROPPED,4,False,1,,,False
306,103,4,2025-09-28T00:00:00,ACTIVE,4,True,1,,,False
307,103,1,2025-09-13T00:00:00,ACTIVE,4,True,1,,,False
308,104,46,2025-09-30T00:00:00,COMPLETED,2,False,2,30.5,FAILED,False
309,104,45,2025-09-29T00:00:00,COMPLETED,2,False,2,75.6,PASSED,False
310,104,47,2025-09-23T00:00:00,ACTIVE,2,True,2,,,False
311,105,42,2025-09-14T00:00:00,COMPLETED,4,False,1,66.6,PASSED,False
312,105,41,2025-09-06T00:00:00,ACTIVE,4,True,1,,,False
313,105,43,2025-09-02T00:00:00,ACTIVE,4,True,1,,,False
314,105,44,2025-09-23T00:00:00,ACTIVE,4,True,1,,,False
315,106,13,2025-09-14T00:00:00,ACTIVE,5,True,2,,,True
316,106,10,2025-09-08T00:00:00,ACTIVE,5,True,2,,,False
317,106,12,2025-09-17T00:00:00,ACTIVE,5,True,2,,,False
318,107,50,2025-09-22T00:00:00,FAILED,4,False,1,83.9,FAILED,False
319,107,48,2025-09-02T00:00:00,ACTIVE,4,True,1,,,False
320,107,49,2025-09-26T00:00:00,ACTIVE,4,True,1,,,False
321,108,11,2025-09-10T00:00:00,FAILED,1,False,1,75.1,FAILED,False
322,108,9,2025-09-09T00:00:00,DROPPED,1,False,1,,,False
323,108,12,2025-09-25T00:00:00,FAILED,1,False,1,86.4,FAILED,False
324,108,10,2025-09-02T00:00:00,COMPLETED,1,False,1,37.3,FAILED,False
325,108,8,2025-09-26T00:00:00,COMPLETED,1,False,1,42.3,FAILED,False
326,108,13,2025-09-17T00:00:00,ACTIVE,1,True,1,,,False
327,109,13,2025-09-07T00:00:00,ACTIVE,2,True,2,,,False
328,109,11,2025-09-29T00:00:00,ACTIVE,2,True,2,,,False
329,109,10,2025-09-25T00:00:00,ACTIVE,2,True,2,,,False
330,109,9,2025-09-08T00:00:00,ACTIVE,2,True,2,,,False
331,110,48,2025-09-14T00:00:00,COMPLETED,4,False,1,33.8,FAILED,False
332,110,27,2025-09-30T00:00:00,ACTIVE,4,True,1,,,False
333,110,13,2025-09-06T00:00:00,ACTIVE,4,True,1,,,False
334,111,44,2025-09-21T00:00:00,ACTIVE,4,True,2,,,False
335,111,43,2025-09-11T00:00:00,COMPLETED,4,False,2,48.9,FAILED,False
336,111,41,2025-09-23T00:00:00,ACTIVE,4,True,2,,,False
337,112,5,2025-09-06T00:00:00,FAILED,3,False,1,62.1,FAILED,False
338,112,7,2025-09-08T00:00:00,ACTIVE,3,True,1,,,False
339,112,6,2025-09-20T00:00:00,ACTIVE,3,True,1,,,False
340,113,2,2025-09-28T00:00:00,ACTIVE,4,True,2,,,False
341,113,1,2025-09-07T00:00:00,COMPLETED,4,False,2,90.4,PASSED,False
342,113,4,2025-09-27T00:00:00,ACTIVE,4,True,2,,,False
343,114,13,2025-09-14T00:00:00,COMPLETED,2,False,2,47.3,FAILED,False
344,114,11,2025-09-29T00:00:00,ACTIVE,2,True,2,,,False
345,114,9,2025-09-05T00:00:00,ACTIVE,2,True,2,,,False
346,115,11,2025-09-24T00:00:00,FAILED,5,False,1,99.4,FAILED,False
347,115,8,2025-09-17T00:00:00,COMPLETED,5,False,1,32.4,FAILED,False
348,115,12,2025-09-23T00:00:00,COMPLETED,5,False,1,86.7,PASSED,False
349,116,49,2025-09-01T00:00:00,FAILED,4,False,1,69.1,FAILED,False
350,116,48,2025-09-07T00:00:00,FAILED,4,False,1,58.5,FAILED,False
351,116,50,2025-09-21T00:00:00,COMPLETED,4,False,1,50.7,FAILED,False
352,117,32,2025-09-28T00:00:00,COMPLETED,1,False,1,79.2,PASSED,False
353,117,31,2025-09-15T00:00:00,COMPLETED,1,False,1,70.9,PASSED,False
354,117,30,2025-09-23T00:00:00,COMPLETED,1,False,1,39.7,FAILED,False
355,118,44,2025-09-23T00:00:00,COMPLETED,1,False,2,56.9,FAILED,False
356,118,43,2025-09-14T00:00:00,COMPLETED,1,False,2,32.3,FAILED,False
357,118,41,2025-09-23T00:00:00,ACTIVE,1,True,2,,,False
358,118,42,2025-09-26T00:00:00,FAILED,1,False,2,68.0,FAILED,False
359,119,14,2025-09-04T00:00:00,FAILED,6,False,2,92.2,FAILED,False
360,119,16,2025-09-15T00:00:00,ACTIVE,6,True,2,,,False
361,119,17,2025-09-06T00:00:00,COMPLETED,6,False,2,55.6,FAILED,False
362,119,18,2025-09-23T00:00:00,ACTIVE,6,True,2,,,False
363,119,15,2025-09-23T00:00:00,ACTIVE,6,True,2,,,False
